cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim,month,year,latitude,longitude
02A,02A000007,2A141,LETIA,02A000006,UNITE STERILISATION U.V ST-MARTIN,100 %,02A00103173,2020-01-08,08h00,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La présence de germes coliformes et de germes sulfito-réducteurs est également à surveiller.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,N,N,1,2020,42.1905264,8.846751699999997
02A,02A000007,2A141,LETIA,,,,02A00103681,2020-04-08,09h40,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La présence de germes coliformes est également à surveiller.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,N,N,4,2020,42.1905264,8.846751699999997
02A,02A000007,2A141,LETIA,,,,02A00104213,2020-07-07,11h11,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,C,N,7,2020,42.1905264,8.846751699999997
02A,02A000007,2A141,LETIA,02A000006,UNITE STERILISATION U.V ST-MARTIN,100 %,02A00105819,2020-10-13,,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes sulfito-réducteurs impose une surveillance renforcée.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,N,N,10,2020,42.1905264,8.846751699999997
02A,02A000007,2A141,LETIA,,,,02A00105967,2020-11-04,09h30,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La présence de germes coliformes est également à surveiller.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,N,N,11,2020,42.1905264,8.846751699999997
02A,02A000008,2A141,LETIA,02A002726,UNITE STERILISATION ST-ROCH,100 %,02A00103167,2020-01-08,08h15,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,C,N,1,2020,42.1905264,8.846751699999997
02A,02A000008,2A141,LETIA,,,,02A00103676,2020-04-08,09h20,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La présence de germes coliformes est également à surveiller.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,N,N,4,2020,42.1905264,8.846751699999997
02A,02A000008,2A141,LETIA,,,,02A00104214,2020-07-07,11h20,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. Il est à noter qu'une température de l'eau supérieure à 25° peut entrainer des développements bactériens.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,C,N,7,2020,42.1905264,8.846751699999997
02A,02A000008,2A141,LETIA,02A002726,UNITE STERILISATION ST-ROCH,100 %,02A00105804,2020-10-09,09h30,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,C,N,10,2020,42.1905264,8.846751699999997
02A,02A000008,2A141,LETIA,,,,02A00105966,2020-11-04,09h45,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,N,C,C,N,11,2020,42.1905264,8.846751699999997
02A,02A000010,2A060,CANNELLE,02A002109,UNITE STERILISATION CANNELLE,100 %,02A00103163,2020-01-09,10h55,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,1,2020,42.0492339,8.820429800000003
02A,02A000010,2A060,CANNELLE,,,,02A00103808,2020-05-18,10h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,5,2020,42.0492339,8.820429800000003
02A,02A000010,2A060,CANNELLE,,,,02A00104063,2020-07-01,09h50,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Teneur en chlore libre excessive.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,7,2020,42.0492339,8.820429800000003
02A,02A000010,2A060,CANNELLE,,,,02A00105388,2020-09-10,09h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,9,2020,42.0492339,8.820429800000003
02A,02A000010,2A060,CANNELLE,02A002109,UNITE STERILISATION CANNELLE,100 %,02A00105515,2020-09-10,09h20,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,9,2020,42.0492339,8.820429800000003
02A,02A000013,2A014,AMBIEGNA,,,,02A00103792,2020-05-12,09h45,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,5,2020,42.0838436,8.7928069
02A,02A000013,2A014,AMBIEGNA,02A002289,UNITE STERILISATION AMBIEGNA,100 %,02A00103832,2020-05-18,09h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,5,2020,42.0838436,8.7928069
02A,02A000013,2A014,AMBIEGNA,,,,02A00104062,2020-07-01,08h55,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Il est à noter qu'une température de l'eau supérieure à 25° peut entrainer des développements bactériens.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,N,7,2020,42.0838436,8.7928069
02A,02A000013,2A014,AMBIEGNA,,,,02A00105502,2020-09-16,08h40,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,9,2020,42.0838436,8.7928069
02A,02A000013,2A014,AMBIEGNA,02A002289,UNITE STERILISATION AMBIEGNA,100 %,02A00106037,2020-11-05,10h15,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes bactéries coliformes impose une surveillance renforcée.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,11,2020,42.0838436,8.7928069
02A,02A000018,2A070,CASAGLIONE,02A002111,UNITE TRAITEMENT CASAGLIONE,100 %,02A00103164,2020-01-09,10h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,1,2020,42.0678625,8.7884091
