cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim,latitude,longitude,month,year
02A,02A000007,2A141,LETIA,02A000006,UNITE STERILISATION U.V ST-MARTIN,100 %,02A00106256,2021-01-07,11h11,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,C,N,42.1905264,8.846751699999997,1,2021
02A,02A000007,2A141,LETIA,,,,02A00106717,2021-04-12,08h45,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La présence de germes sulfito-réducteurs est également à surveiller.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,N,N,42.1905264,8.846751699999997,4,2021
02A,02A000007,2A141,LETIA,,,,02A00107437,2021-07-09,09h20,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,N,C,N,N,42.1905264,8.846751699999997,7,2021
02A,02A000007,2A141,LETIA,02A000006,UNITE STERILISATION U.V ST-MARTIN,100 %,02A00108776,2021-10-11,10h00,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes sulfito-réducteurs impose une surveillance renforcée.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,N,N,42.1905264,8.846751699999997,10,2021
02A,02A000007,2A141,LETIA,,,,02A00108919,2021-11-08,08h30,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,C,N,42.1905264,8.846751699999997,11,2021
02A,02A000008,2A141,LETIA,02A002726,UNITE STERILISATION ST-ROCH,100 %,02A00106251,2021-01-07,10h40,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,C,N,42.1905264,8.846751699999997,1,2021
02A,02A000008,2A141,LETIA,,,,02A00106718,2021-04-12,09h05,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,C,N,42.1905264,8.846751699999997,4,2021
02A,02A000008,2A141,LETIA,,,,02A00107436,2021-07-09,09h20,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,C,N,42.1905264,8.846751699999997,7,2021
02A,02A000008,2A141,LETIA,02A002726,UNITE STERILISATION ST-ROCH,100 %,02A00108766,2021-10-11,09h35,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,C,N,42.1905264,8.846751699999997,10,2021
02A,02A000008,2A141,LETIA,,,,02A00108918,2021-11-08,08h45,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,C,N,42.1905264,8.846751699999997,11,2021
02A,02A000010,2A060,CANNELLE,02A002109,UNITE STERILISATION CANNELLE,100 %,02A00106803,2021-01-14,08h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,42.0492339,8.820429800000003,1,2021
