cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim,month,year,latitude_y,longitude_y
02B,02B000004,2B005,ALANDO,02B000002,RESERVOIR ALANDO,100 %,02B00109799,2023-05-11,08h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,ALANDO,MAIRIE DE ALANDO,MAIRIE DE ALANDO,C,C,C,C,5,2023,42.3063333,9.2906225
02B,02B000004,2B005,ALANDO,,,,02B00111081,2023-07-19,08h20,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,ALANDO,MAIRIE DE ALANDO,MAIRIE DE ALANDO,C,C,C,C,7,2023,42.3063333,9.2906225
02B,02B000011,2B023,ASCO,02B000008,RESERVOIR ASCO,100 %,02B00109820,2023-06-05,07h20,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,ASCO,MAIRIE DE ASCO,MAIRIE DE ASCO,C,C,C,N,6,2023,42.4542774,9.0341777
02B,02B000011,2B023,ASCO,,,,02B00109822,2023-03-07,07h20,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,ASCO,MAIRIE DE ASCO,MAIRIE DE ASCO,N,C,N,N,3,2023,42.4542774,9.0341777
02B,02B000011,2B023,ASCO,,,,02B00111097,2023-08-29,06h50,Eau d'alimentation conforme aux limites de qualité. Turbidité hors norme. Eau faiblement minéralisée.,ASCO,MAIRIE DE ASCO,MAIRIE DE ASCO,C,C,C,N,8,2023,42.4542774,9.0341777
02B,02B000021,2B003,AITI,02B000018,RESERVOIR AITI,100 %,02B00109796,2023-04-26,06h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,AITI,MAIRIE DE AITI,MAIRIE DE AITI,C,C,C,C,4,2023,42.3985048,9.2434795
02B,02B000021,2B003,AITI,,,,02B00109797,2023-02-09,06h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,AITI,MAIRIE DE AITI,MAIRIE DE AITI,C,C,C,C,2,2023,42.3985048,9.2434795
02B,02B000021,2B003,AITI,,,,02B00111080,2023-07-13,06h00,Eau d'alimentation non-conforme aux limites de qualité et conforme aux références de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.,AITI,MAIRIE DE AITI,MAIRIE DE AITI,N,C,C,C,7,2023,42.3985048,9.2434795
02B,02B000029,2B235,PIOGGIOLA,02B000026,RESERVOIR PIOGGIOLA,100 %,02B00110824,2023-03-20,06h40,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,C,N,3,2023,42.5369444,8.9978216
02B,02B000029,2B235,PIOGGIOLA,,,,02B00110825,2023-06-08,07h40,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante.,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,N,N,6,2023,42.5369444,8.9978216
02B,02B000029,2B235,PIOGGIOLA,02B000026,RESERVOIR PIOGGIOLA,100 %,02B00111981,2023-07-17,08h10,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,N,C,N,C,7,2023,42.5369444,8.9978216
02B,02B000029,2B235,PIOGGIOLA,,,,02B00111982,2023-08-29,09h00,Eau d'alimentation conforme aux limites de qualité. Présence de bactéries coliformes. La teneur en chlore libre est insuffisante.,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,N,C,8,2023,42.5369444,8.9978216
02B,02B000038,2B156,MAUSOLEO,02B000037,RESERVOIR MAUSOLEO VILLAGE,100 %,02B00110808,2023-03-20,07h00,Eau d'alimentation conforme aux limites de qualité. Eau agressive. Eau faiblement minéralisée.,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,C,N,3,2023,42.51990120000001,9.0078483
02B,02B000038,2B156,MAUSOLEO,,,,02B00111961,2023-06-08,07h20,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,C,N,6,2023,42.51990120000001,9.0078483
02B,02B000043,2B190,OLMI-CAPPELLA,02B000125,RESERVOIR OLMI CAPELLA,100 %,02B00110623,2023-03-20,06h10,Eau d'alimentation conforme aux limites de qualité. Eau agressive. Eau faiblement minéralisée.,OEHC,OEHC,OEHC,C,C,C,N,3,2023,42.5287906,9.0193558
02B,02B000043,2B190,OLMI-CAPPELLA,,,,02B00110817,2023-03-20,06h20,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,C,N,3,2023,42.5287906,9.0193558
02B,02B000043,2B190,OLMI-CAPPELLA,02B000125,RESERVOIR OLMI CAPELLA,100 %,02B00111780,2023-07-17,07h50,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante.,OEHC,OEHC,OEHC,C,C,N,N,7,2023,42.5287906,9.0193558
02B,02B000043,2B190,OLMI-CAPPELLA,,,,02B00111973,2023-06-08,07h00,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,C,N,6,2023,42.5287906,9.0193558
02B,02B000064,2B087,CERVIONE,,,,02B00109443,2023-01-09,06h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,1,2023,42.3322737,9.49192
02B,02B000064,2B087,CERVIONE,02B000063,STATION CHLORATION CERVIONE,100 %,02B00110582,2023-02-23,08h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,2,2023,42.3322737,9.49192
02B,02B000064,2B087,CERVIONE,,,,02B00110589,2023-04-11,06h35,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,4,2023,42.3322737,9.49192
02B,02B000064,2B087,CERVIONE,,,,02B00111751,2023-06-26,06h35,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,6,2023,42.3322737,9.49192
02B,02B000065,2B087,CERVIONE,,,,02B00109437,2023-01-09,07h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,1,2023,42.3322737,9.49192
02B,02B000065,2B087,CERVIONE,02B000064,HAUT VILLAGE,50 %,02B00109443,2023-01-09,06h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,1,2023,42.3322737,9.49192
02B,02B000065,2B087,CERVIONE,,,,02B00110583,2023-02-07,06h45,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,2,2023,42.3322737,9.49192
02B,02B000065,2B087,CERVIONE,,,,02B00110584,2023-04-11,06h45,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,4,2023,42.3322737,9.49192
02B,02B000065,2B087,CERVIONE,02B000064,HAUT VILLAGE,50 %,02B00110589,2023-04-11,06h35,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,4,2023,42.3322737,9.49192
02B,02B000065,2B087,CERVIONE,,,,02B00111745,2023-06-26,06h45,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,6,2023,42.3322737,9.49192
02B,02B000065,2B087,CERVIONE,02B000064,HAUT VILLAGE,50 %,02B00111751,2023-06-26,06h35,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,6,2023,42.3322737,9.49192
02B,02B000073,2B087,CERVIONE,,,,02B00109441,2023-01-09,07h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,1,2023,42.3322737,9.49192
02B,02B000073,2B087,CERVIONE,02B000063,STATION CHLORATION CERVIONE,50 %,02B00110582,2023-02-23,08h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,2,2023,42.3322737,9.49192
02B,02B000073,2B087,CERVIONE,,,,02B00110587,2023-03-21,06h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SI CERVIONE VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,SI CERVIONE-VALLE DI CAMPOLORO,C,C,C,C,3,2023,42.3322737,9.49192
02B,02B000095,2B007,ALBERTACCE,02B000091,RESERVOIR ALBERTACCE,100 %,02B00109803,2023-04-19,06h50,Eau d'alimentation conforme aux limites de qualité. Eau agressive. Eau faiblement minéralisée.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,C,C,C,N,4,2023,42.3278205,8.9841915
02B,02B000095,2B007,ALBERTACCE,,,,02B00109806,2023-03-07,07h40,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,N,C,N,N,3,2023,42.3278205,8.9841915
02B,02B000095,2B007,ALBERTACCE,,,,02B00111082,2023-06-29,07h20,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Eau faiblement minéralisée.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,N,C,N,N,6,2023,42.3278205,8.9841915
02B,02B000096,2B007,ALBERTACCE,02B000092,RESERVOIR CALASIMA,100 %,02B00109804,2023-04-19,06h10,Eau d'alimentation conforme aux limites de qualité. Eau agressive. Eau faiblement minéralisée.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,C,C,C,N,4,2023,42.3278205,8.9841915
02B,02B000096,2B007,ALBERTACCE,,,,02B00109807,2023-03-07,06h00,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,N,C,N,N,3,2023,42.3278205,8.9841915
02B,02B000096,2B007,ALBERTACCE,,,,02B00111083,2023-06-29,06h40,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Eau faiblement minéralisée.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,N,C,N,N,6,2023,42.3278205,8.9841915
02B,02B000097,2B007,ALBERTACCE,02B000093,RESERVOIR PIETRA-ZITAMBOLI,100 %,02B00109805,2023-04-19,06h30,Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.,ALBERTACCE,MAIRIE DE ALBERTACCE,MAIRIE DE ALBERTACCE,C,C,C,N,4,2023,42.3278205,8.9841915
