cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim,month,year,latitude,longitude
02A,02A000007,2A141,LETIA,02A000006,UNITE STERILISATION U.V ST-MARTIN,100 %,02A00080619,2018-01-30,09h10,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La présence de germes sulfito-réducteurs est également à surveiller.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,N,N,1,2018,42.1905264,8.8467517
02A,02A000007,2A141,LETIA,,,,02A00081010,2018-04-09,09h55,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La présence de germes sulfito-réducteurs est également à surveiller.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,N,N,4,2018,42.1905264,8.8467517
02A,02A000007,2A141,LETIA,,,,02A00098058,2018-07-19,11h40,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. Il est à noter qu'une température de l'eau supérieure à 25° peut entrainer des développements bactériens.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,C,N,7,2018,42.1905264,8.8467517
02A,02A000007,2A141,LETIA,02A000006,UNITE STERILISATION U.V ST-MARTIN,100 %,02A00099310,2018-11-15,08h50, Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La présence de germes sulfito-réducteurs est également à surveiller.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,N,N,11,2018,42.1905264,8.8467517
02A,02A000007,2A141,LETIA,,,,02A00099353,2018-12-06,09h29,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La présence de germes sulfito-réducteurs est également à surveiller.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,N,N,12,2018,42.1905264,8.8467517
02A,02A000008,2A141,LETIA,02A002726,UNITE STERILISATION ST-ROCH,100 %,02A00080493,2018-01-09,11h15,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La présence de germes sulfito-réducteurs est également à surveiller.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,N,N,1,2018,42.1905264,8.8467517
02A,02A000008,2A141,LETIA,,,,02A00081011,2018-04-09,09h35,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. ,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,C,N,4,2018,42.1905264,8.8467517
02A,02A000008,2A141,LETIA,,,,02A00098057,2018-07-19,11h09, Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes en nombre important impose une surveillance renforcée.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,N,N,7,2018,42.1905264,8.8467517
02A,02A000008,2A141,LETIA,02A002726,UNITE STERILISATION ST-ROCH,100 %,02A00099030,2018-10-16,08h35,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,C,N,10,2018,42.1905264,8.8467517
02A,02A000008,2A141,LETIA,,,,02A00099352,2018-12-06,09h48,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,C,N,12,2018,42.1905264,8.8467517
02A,02A000010,2A060,CANNELLE,02A002109,UNITE STERILISATION CANNELLE,100 %,02A00080544,2018-01-11,10h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,1,2018,42.0492339,8.8204298
02A,02A000010,2A060,CANNELLE,,,,02A00081174,2018-05-02,10h20,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,5,2018,42.0492339,8.8204298
02A,02A000010,2A060,CANNELLE,,,,02A00097653,2018-07-10,07h02,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,7,2018,42.0492339,8.8204298
02A,02A000010,2A060,CANNELLE,02A002109,UNITE STERILISATION CANNELLE,100 %,02A00098870,2018-09-13,08h57,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Il est à noter que l'agressivité est susceptible d'engendrer des risques de corrosion des canalisations.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,N,9,2018,42.0492339,8.8204298
02A,02A000010,2A060,CANNELLE,,,,02A00099170,2018-11-15,09h08,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,11,2018,42.0492339,8.8204298
02A,02A000013,2A014,AMBIEGNA,02A002289,UNITE STERILISATION AMBIEGNA,100 %,02A00080505,2018-01-10,10h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,1,2018,42.0838436,8.7928069
02A,02A000013,2A014,AMBIEGNA,,,,02A00081243,2018-05-17,09h30," Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. La teneur en chlore libre est excessive, et l'excès de désinfectant peut générer une odeur ou une saveur désagréable.",SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,5,2018,42.0838436,8.7928069
02A,02A000013,2A014,AMBIEGNA,,,,02A00098055,2018-07-18,07h28,"Eau d'alimentation non conforme à la norme en vigueur, du fait du dépassement de la limite de qualité concernant le paramètre nickel",SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,N,C,C,7,2018,42.0838436,8.7928069
02A,02A000013,2A014,AMBIEGNA,,,,02A00098716,2018-09-03,11h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,9,2018,42.0838436,8.7928069
02A,02A000013,2A014,AMBIEGNA,02A002289,UNITE STERILISATION AMBIEGNA,100 %,02A00099318,2018-11-13,07h29,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,11,2018,42.0838436,8.7928069
02A,02A000018,2A070,CASAGLIONE,02A002111,UNITE TRAITEMENT CASAGLIONE,100 %,02A00080543,2018-01-11,08h09,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,1,2018,42.0678625,8.7884091
02A,02A000018,2A070,CASAGLIONE,,,,02A00081173,2018-05-02,07h35,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,5,2018,42.0678625,8.7884091
02A,02A000018,2A070,CASAGLIONE,,,,02A00097927,2018-07-18,06h56,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,7,2018,42.0678625,8.7884091
02A,02A000018,2A070,CASAGLIONE,,,,02A00098781,2018-09-12,08h45,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,C,9,2018,42.0678625,8.7884091
02A,02A000018,2A070,CASAGLIONE,02A002111,UNITE TRAITEMENT CASAGLIONE,100 %,02A00099319,2018-11-13,06h57,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Il est à noter que l'agressivité est susceptible d'engendrer des risques de corrosion des canalisations.,SYNDICAT CINARCA LIAMONE INTERIEUR,SYNDICAT DE CINARCA-LIAMONE,SYNDICAT DE CINARCA-LIAMONE,C,C,C,N,11,2018,42.0678625,8.7884091
02A,02A000020,2A174,MURZO,,,,02A00080717,2018-02-13,07h51,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE MURZO,MAIRIE DE MURZO,MAIRIE DE MURZO,C,C,C,N,2,2018,42.1679035,8.8265789
02A,02A000020,2A174,MURZO,02A003010,TTP MURZO,100 %,02A00097289,2018-05-24,11h25,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE MURZO,MAIRIE DE MURZO,MAIRIE DE MURZO,C,C,C,N,5,2018,42.1679035,8.8265789
02A,02A000020,2A174,MURZO,02A003010,TTP MURZO,100 %,02A00099068,2018-10-16,07h17,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE DE MURZO,MAIRIE DE MURZO,MAIRIE DE MURZO,N,C,N,N,10,2018,42.1679035,8.8265789
