cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim,month,year,latitude,longitude
02B,02B000004,2B005,ALANDO,02B000002,RESERVOIR ALANDO,100 %,02B00095808,2019-02-12,08h20,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,ALANDO,MAIRIE DE ALANDO,MAIRIE DE ALANDO,C,C,C,C,2,2019,42.3063333,9.2906225
02B,02B000004,2B005,ALANDO,,,,02B00096864,2019-06-27,09h00,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante,ALANDO,MAIRIE DE ALANDO,MAIRIE DE ALANDO,N,C,N,C,6,2019,42.3063333,9.2906225
02B,02B000004,2B005,ALANDO,,,,02B00098613,2019-09-18,08h40,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante,ALANDO,MAIRIE DE ALANDO,MAIRIE DE ALANDO,N,C,N,C,9,2019,42.3063333,9.2906225
02B,02B000011,2B023,ASCO,02B000008,RESERVOIR ASCO,100 %,02B00095827,2019-05-22,06h50,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante,ASCO,MAIRIE DE ASCO,MAIRIE DE ASCO,C,C,C,N,5,2019,42.4542774,9.0341777
02B,02B000011,2B023,ASCO,,,,02B00095831,2019-03-05,06h45,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante,ASCO,MAIRIE DE ASCO,MAIRIE DE ASCO,C,C,C,N,3,2019,42.4542774,9.0341777
02B,02B000011,2B023,ASCO,02B000008,RESERVOIR ASCO,100 %,02B00096881,2019-07-22,07h50,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Température hors norme. Eau faiblement minéralisée.,ASCO,MAIRIE DE ASCO,MAIRIE DE ASCO,C,C,C,N,7,2019,42.4542774,9.0341777
02B,02B000011,2B023,ASCO,,,,02B00096883,2019-06-24,06h50,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante,ASCO,MAIRIE DE ASCO,MAIRIE DE ASCO,C,C,N,N,6,2019,42.4542774,9.0341777
02B,02B000011,2B023,ASCO,,,,02B00098621,2019-10-02,06h50,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante,ASCO,MAIRIE DE ASCO,MAIRIE DE ASCO,N,C,N,N,10,2019,42.4542774,9.0341777
02B,02B000021,2B003,AITI,02B000018,RESERVOIR AITI,100 %,02B00095806,2019-03-18,06h05,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante,AITI,MAIRIE DE AITI,MAIRIE DE AITI,C,C,C,C,3,2019,42.3985048,9.2434795
02B,02B000021,2B003,AITI,,,,02B00095807,2019-01-29,07h15,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante,AITI,MAIRIE DE AITI,MAIRIE DE AITI,C,C,C,N,1,2019,42.3985048,9.2434795
02B,02B000021,2B003,AITI,02B000018,RESERVOIR AITI,100 %,02B00096862,2019-05-16,08h10,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Turbidité hors norme. La teneur en chlore libre est insuffisante,AITI,MAIRIE DE AITI,MAIRIE DE AITI,C,C,C,N,5,2019,42.3985048,9.2434795
02B,02B000021,2B003,AITI,,,,02B00096863,2019-08-21,09h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,AITI,MAIRIE DE AITI,MAIRIE DE AITI,C,C,C,C,8,2019,42.3985048,9.2434795
02B,02B000021,2B003,AITI,,,,02B00098612,2019-10-15,08h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante,AITI,MAIRIE DE AITI,MAIRIE DE AITI,C,C,C,C,10,2019,42.3985048,9.2434795
02B,02B000029,2B235,PIOGGIOLA,02B000026,RESERVOIR PIOGGIOLA,100 %,02B00096459,2019-03-25,07h10,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,C,N,3,2019,42.5369444,8.9978216
02B,02B000029,2B235,PIOGGIOLA,,,,02B00096460,2019-02-14,07h20,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. La teneur en chlore libre est insuffisante. Eau faiblement minéralisée.,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,C,N,2,2019,42.5369444,8.9978216
