cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim,month,year,latitude_y,longitude_y
02B,02B000004,2B005,ALANDO,02B000002,RESERVOIR ALANDO,100 %,02B00099301,2020-03-04,08h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante,ALANDO,MAIRIE DE ALANDO,MAIRIE DE ALANDO,C,C,C,C,3,2020,42.3063333,9.290622500000001
02B,02B000004,2B005,ALANDO,,,,02B00100600,2020-06-24,09h00,Eau d'alimentation non-conforme aux limites de qualité et conforme aux références de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.,ALANDO,MAIRIE DE ALANDO,MAIRIE DE ALANDO,N,C,C,C,6,2020,42.3063333,9.290622500000001
02B,02B000004,2B005,ALANDO,,,,02B00101435,2020-08-13,07h45,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante,ALANDO,MAIRIE DE ALANDO,MAIRIE DE ALANDO,N,C,N,C,8,2020,42.3063333,9.290622500000001
02B,02B000011,2B023,ASCO,,,,02B00099324,2020-06-17,06h45,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. La teneur en chlore libre est insuffisante. Eau faiblement minéralisée.,ASCO,MAIRIE DE ASCO,MAIRIE DE ASCO,C,C,C,N,6,2020,42.454277399999995,9.034177699999999
02B,02B000011,2B023,ASCO,02B000008,RESERVOIR ASCO,100 %,02B00100615,2020-09-01,07h45,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau agressive. Eau faiblement minéralisée.,ASCO,MAIRIE DE ASCO,MAIRIE DE ASCO,C,C,C,N,9,2020,42.454277399999995,9.034177699999999
02B,02B000011,2B023,ASCO,,,,02B00100618,2020-07-08,06h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Température hors norme. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante,ASCO,MAIRIE DE ASCO,MAIRIE DE ASCO,C,C,C,N,7,2020,42.454277399999995,9.034177699999999
02B,02B000011,2B023,ASCO,,,,02B00101443,2020-09-30,06h30,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,ASCO,MAIRIE DE ASCO,MAIRIE DE ASCO,N,C,N,N,9,2020,42.454277399999995,9.034177699999999
02B,02B000021,2B003,AITI,02B000018,RESERVOIR AITI,100 %,02B00099299,2020-02-20,08h15,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante,AITI,MAIRIE DE AITI,MAIRIE DE AITI,C,C,C,C,2,2020,42.3985048,9.2434795
02B,02B000021,2B003,AITI,,,,02B00099300,2020-08-05,09h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,AITI,MAIRIE DE AITI,MAIRIE DE AITI,C,C,C,C,8,2020,42.3985048,9.2434795
02B,02B000021,2B003,AITI,,,,02B00100599,2020-06-25,08h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante,AITI,MAIRIE DE AITI,MAIRIE DE AITI,C,C,N,C,6,2020,42.3985048,9.2434795
02B,02B000021,2B003,AITI,,,,02B00101434,2020-09-09,06h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,AITI,MAIRIE DE AITI,MAIRIE DE AITI,C,C,C,C,9,2020,42.3985048,9.2434795
02B,02B000029,2B235,PIOGGIOLA,02B000026,RESERVOIR PIOGGIOLA,100 %,02B00100399,2020-06-08,06h55,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,N,C,6,2020,42.536944399999996,8.9978216
02B,02B000029,2B235,PIOGGIOLA,,,,02B00100400,2020-08-11,08h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,C,C,8,2020,42.536944399999996,8.9978216
02B,02B000029,2B235,PIOGGIOLA,02B000026,RESERVOIR PIOGGIOLA,100 %,02B00101424,2020-07-01,08h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,C,C,7,2020,42.536944399999996,8.9978216
02B,02B000038,2B156,MAUSOLEO,02B000037,RESERVOIR MAUSOLEO VILLAGE,100 %,02B00100380,2020-06-08,07h30,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,N,C,N,N,6,2020,42.51990120000001,9.007848300000001
02B,02B000038,2B156,MAUSOLEO,,,,02B00101409,2020-07-01,08h20,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,C,C,7,2020,42.51990120000001,9.007848300000001
02B,02B000043,2B190,OLMI-CAPPELLA,02B000125,RESERVOIR OLMI CAPELLA,100 %,02B00100189,2020-08-11,06h50,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Température hors norme. Eau faiblement minéralisée. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante,OEHC,OEHC,OEHC,C,C,N,N,8,2020,42.5287906,9.0193558
