cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim,month,year
02B,02B000004,2B005,ALANDO,02B000002,RESERVOIR ALANDO,100 %,02B00102489,2021-03-09,08h50,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. La teneur en chlore libre est insuffisante. Présence de bactéries sulfito-réductrices.,ALANDO,MAIRIE DE ALANDO,MAIRIE DE ALANDO,C,C,N,C,3,2021
02B,02B000004,2B005,ALANDO,02B000002,RESERVOIR ALANDO,100 %,02B00103629,2021-09-22,08h50,Eau d'alimentation non-conforme aux limites de qualité et conforme aux références de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.,ALANDO,MAIRIE DE ALANDO,MAIRIE DE ALANDO,N,C,C,C,9,2021
02B,02B000004,2B005,ALANDO,,,,02B00103630,2021-07-07,08h30,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.,ALANDO,MAIRIE DE ALANDO,MAIRIE DE ALANDO,N,C,N,C,7,2021
02B,02B000004,2B005,ALANDO,,,,02B00105348,2021-11-23,07h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,ALANDO,MAIRIE DE ALANDO,MAIRIE DE ALANDO,C,C,C,C,11,2021
02B,02B000011,2B023,ASCO,02B000008,RESERVOIR ASCO,100 %,02B00102508,2021-03-04,06h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,ASCO,MAIRIE DE ASCO,MAIRIE DE ASCO,C,C,C,N,3,2021
02B,02B000011,2B023,ASCO,,,,02B00102511,2021-04-12,06h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,ASCO,MAIRIE DE ASCO,MAIRIE DE ASCO,C,C,C,N,4,2021
02B,02B000011,2B023,ASCO,02B000008,RESERVOIR ASCO,100 %,02B00103650,2021-06-02,07h05,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.,ASCO,MAIRIE DE ASCO,MAIRIE DE ASCO,C,C,C,N,6,2021
02B,02B000011,2B023,ASCO,,,,02B00105358,2021-09-28,06h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.,ASCO,MAIRIE DE ASCO,MAIRIE DE ASCO,C,C,C,N,9,2021
02B,02B000021,2B003,AITI,02B000018,RESERVOIR AITI,100 %,02B00102487,2021-04-20,07h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,AITI,MAIRIE DE AITI,MAIRIE DE AITI,C,C,C,C,4,2021
02B,02B000021,2B003,AITI,,,,02B00102488,2021-02-25,06h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.,AITI,MAIRIE DE AITI,MAIRIE DE AITI,C,C,C,C,2,2021
