cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim,latitude,longitude,month,year
02A,02A000007,2A141,LETIA,02A000006,UNITE STERILISATION U.V ST-MARTIN,100 %,02A00112364,2023-01-09,09h40,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,C,N,42.1905264,8.846751699999997,1,2023
02A,02A000007,2A141,LETIA,,,,02A00112853,2023-04-03,10h05,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,C,N,42.1905264,8.846751699999997,4,2023
02A,02A000007,2A141,LETIA,,,,02A00114370,2023-07-26,09h50,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La présence de germes coliformes et de germes sulfito-réducteurs est également à surveiller.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,N,N,42.1905264,8.846751699999997,7,2023
02A,02A000007,2A141,LETIA,,,,02A00114460,2023-08-29,10h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. Complément d'analyse du prélèvement N° 00114370 réalisé le 26/07/2023 à 09h50,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,S,C,S,C,42.1905264,8.846751699999997,8,2023
02A,02A000008,2A141,LETIA,02A002726,UNITE STERILISATION ST-ROCH,100 %,02A00112363,2023-01-09,10h05,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,C,N,42.1905264,8.846751699999997,1,2023
02A,02A000008,2A141,LETIA,,,,02A00112854,2023-04-03,09h40,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La présence de germes sulfito-réducteurs est également à surveiller.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,N,N,42.1905264,8.846751699999997,4,2023
02A,02A000008,2A141,LETIA,,,,02A00114371,2023-07-26,09h20,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,C,N,42.1905264,8.846751699999997,7,2023
02A,02A000010,2A060,CANNELLE,02A002109,UNITE STERILISATION CANNELLE,100 %,02A00112429,2023-01-17,08h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SIVOM DE LA CINARCA ET DU LIAMONE,SIVOM DE LA CINARCA ET DU LIAMONE,C,C,C,C,42.0492339,8.820429800000003,1,2023
02A,02A000010,2A060,CANNELLE,,,,02A00113094,2023-05-04,09h35,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SIVOM DE LA CINARCA ET DU LIAMONE,SIVOM DE LA CINARCA ET DU LIAMONE,C,C,C,C,42.0492339,8.820429800000003,5,2023
02A,02A000010,2A060,CANNELLE,,,,02A00113813,2023-07-19,08h55,Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,SYNDICAT CINARCA LIAMONE INTERIEUR,SIVOM DE LA CINARCA ET DU LIAMONE,SIVOM DE LA CINARCA ET DU LIAMONE,N,C,N,C,42.0492339,8.820429800000003,7,2023
02A,02A000013,2A014,AMBIEGNA,02A002289,UNITE STERILISATION AMBIEGNA,100 %,02A00113119,2023-05-04,08h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SIVOM DE LA CINARCA ET DU LIAMONE,SIVOM DE LA CINARCA ET DU LIAMONE,C,C,C,C,42.0838436,8.7928069,5,2023
02A,02A000013,2A014,AMBIEGNA,,,,02A00113150,2023-05-11,08h25,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SIVOM DE LA CINARCA ET DU LIAMONE,SIVOM DE LA CINARCA ET DU LIAMONE,C,C,C,C,42.0838436,8.7928069,5,2023
02A,02A000018,2A070,CASAGLIONE,02A002111,UNITE TRAITEMENT CASAGLIONE,100 %,02A00112428,2023-01-17,10h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,SYNDICAT CINARCA LIAMONE INTERIEUR,SIVOM DE LA CINARCA ET DU LIAMONE,SIVOM DE LA CINARCA ET DU LIAMONE,C,C,C,C,42.0678625,8.7884091,1,2023
02A,02A000018,2A070,CASAGLIONE,,,,02A00112746,2023-03-15,11h15,"Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. La teneur en chlore libre est excessive, et l'excès de désinfectant peut générer une odeur ou une saveur désagréable.",SYNDICAT CINARCA LIAMONE INTERIEUR,SIVOM DE LA CINARCA ET DU LIAMONE,SIVOM DE LA CINARCA ET DU LIAMONE,C,C,C,C,42.0678625,8.7884091,3,2023
02A,02A000018,2A070,CASAGLIONE,,,,02A00113814,2023-07-19,10h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Il est à noter qu'une température de l'eau supérieure à 25° peut entrainer des développements bactériens.,SYNDICAT CINARCA LIAMONE INTERIEUR,SIVOM DE LA CINARCA ET DU LIAMONE,SIVOM DE LA CINARCA ET DU LIAMONE,C,C,C,N,42.0678625,8.7884091,7,2023
02A,02A000020,2A174,MURZO,,,,02A00112616,2023-02-23,08h25,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation et un Ph bas.,COMMUNE DE MURZO,MAIRIE DE MURZO,MAIRIE DE MURZO,C,C,C,N,42.1679035,8.826578900000003,2,2023
